# x  V_Rectangulos  V_Trapecio  V_Simpson
-2.0000000000e+00 2.9688249468e+00 2.9688249468e+00 2.9688249468e+00
-1.9798994975e+00 2.9958271809e+00 2.9958271809e+00 2.9958271809e+00
-1.9597989950e+00 3.0233005460e+00 3.0233005460e+00 3.0233005460e+00
-1.9396984925e+00 3.0512568787e+00 3.0512568787e+00 3.0512568787e+00
-1.9195979899e+00 3.0797083963e+00 3.0797083963e+00 3.0797083963e+00
-1.8994974874e+00 3.1086677120e+00 3.1086677120e+00 3.1086677120e+00
-1.8793969849e+00 3.1381478505e+00 3.1381478505e+00 3.1381478505e+00
-1.8592964824e+00 3.1681622637e+00 3.1681622637e+00 3.1681622637e+00
-1.8391959799e+00 3.1987248481e+00 3.1987248481e+00 3.1987248481e+00
-1.8190954774e+00 3.2298499620e+00 3.2298499620e+00 3.2298499620e+00
-1.7989949749e+00 3.2615524447e+00 3.2615524447e+00 3.2615524447e+00
-1.7788944724e+00 3.2938476351e+00 3.2938476351e+00 3.2938476351e+00
-1.7587939698e+00 3.3267513927e+00 3.3267513927e+00 3.3267513927e+00
-1.7386934673e+00 3.3602801186e+00 3.3602801186e+00 3.3602801186e+00
-1.7185929648e+00 3.3944507778e+00 3.3944507778e+00 3.3944507778e+00
-1.6984924623e+00 3.4292809225e+00 3.4292809225e+00 3.4292809225e+00
-1.6783919598e+00 3.4647887172e+00 3.4647887172e+00 3.4647887172e+00
-1.6582914573e+00 3.5009929639e+00 3.5009929639e+00 3.5009929639e+00
-1.6381909548e+00 3.5379131294e+00 3.5379131294e+00 3.5379131294e+00
-1.6180904523e+00 3.5755693741e+00 3.5755693741e+00 3.5755693741e+00
-1.5979899497e+00 3.6139825812e+00 3.6139825812e+00 3.6139825812e+00
-1.5778894472e+00 3.6531743891e+00 3.6531743891e+00 3.6531743891e+00
-1.5577889447e+00 3.6931672235e+00 3.6931672235e+00 3.6931672235e+00
-1.5376884422e+00 3.7339843335e+00 3.7339843335e+00 3.7339843335e+00
-1.5175879397e+00 3.7756498273e+00 3.7756498273e+00 3.7756498273e+00
-1.4974874372e+00 3.8181887116e+00 3.8181887116e+00 3.8181887116e+00
-1.4773869347e+00 3.8616269328e+00 3.8616269328e+00 3.8616269328e+00
-1.4572864322e+00 3.9059914193e+00 3.9059914193e+00 3.9059914193e+00
-1.4371859296e+00 3.9513101285e+00 3.9513101285e+00 3.9513101285e+00
-1.4170854271e+00 3.9976120941e+00 3.9976120941e+00 3.9976120941e+00
-1.3969849246e+00 4.0449274783e+00 4.0449274783e+00 4.0449274783e+00
-1.3768844221e+00 4.0932876253e+00 4.0932876253e+00 4.0932876253e+00
-1.3567839196e+00 4.1427251198e+00 4.1427251198e+00 4.1427251198e+00
-1.3366834171e+00 4.1932738477e+00 4.1932738477e+00 4.1932738477e+00
-1.3165829146e+00 4.2449690619e+00 4.2449690619e+00 4.2449690619e+00
-1.2964824121e+00 4.2978474513e+00 4.2978474513e+00 4.2978474513e+00
-1.2763819095e+00 4.3519472150e+00 4.3519472150e+00 4.3519472150e+00
-1.2562814070e+00 4.4073081419e+00 4.4073081419e+00 4.4073081419e+00
-1.2361809045e+00 4.4639716947e+00 4.4639716947e+00 4.4639716947e+00
-1.2160804020e+00 4.5219811013e+00 4.5219811013e+00 4.5219811013e+00
-1.1959798995e+00 4.5813814520e+00 4.5813814520e+00 4.5813814520e+00
-1.1758793970e+00 4.6422198041e+00 4.6422198041e+00 4.6422198041e+00
-1.1557788945e+00 4.7045452947e+00 4.7045452947e+00 4.7045452947e+00
-1.1356783920e+00 4.7684092627e+00 4.7684092627e+00 4.7684092627e+00
-1.1155778894e+00 4.8338653805e+00 4.8338653805e+00 4.8338653805e+00
-1.0954773869e+00 4.9009697966e+00 4.9009697966e+00 4.9009697966e+00
-1.0753768844e+00 4.9697812907e+00 4.9697812907e+00 4.9697812907e+00
-1.0552763819e+00 5.0403614427e+00 5.0403614427e+00 5.0403614427e+00
-1.0351758794e+00 5.1127748170e+00 5.1127748170e+00 5.1127748170e+00
-1.0150753769e+00 5.1870891640e+00 5.1870891640e+00 5.1870891640e+00
-9.9497487437e-01 5.2633756415e+00 5.2633756415e+00 5.2633756415e+00
-9.7487437186e-01 5.3417090583e+00 5.3417090583e+00 5.3417090583e+00
-9.5477386935e-01 5.4221681425e+00 5.4221681425e+00 5.4221681425e+00
-9.3467336683e-01 5.5048358386e+00 5.5048358386e+00 5.5048358386e+00
-9.1457286432e-01 5.5897996369e+00 5.5897996369e+00 5.5897996369e+00
-8.9447236181e-01 5.6771519407e+00 5.6771519407e+00 5.6771519407e+00
-8.7437185930e-01 5.7669904749e+00 5.7669904749e+00 5.7669904749e+00
-8.5427135678e-01 5.8594187451e+00 5.8594187451e+00 5.8594187451e+00
-8.3417085427e-01 5.9545465515e+00 5.9545465515e+00 5.9545465515e+00
-8.1407035176e-01 6.0524905695e+00 6.0524905695e+00 6.0524905695e+00
-7.9396984925e-01 6.1533750050e+00 6.1533750050e+00 6.1533750050e+00
-7.7386934673e-01 6.2573323382e+00 6.2573323382e+00 6.2573323382e+00
-7.5376884422e-01 6.3645041699e+00 6.3645041699e+00 6.3645041699e+00
-7.3366834171e-01 6.4750421885e+00 6.4750421885e+00 6.4750421885e+00
-7.1356783920e-01 6.5891092776e+00 6.5891092776e+00 6.5891092776e+00
-6.9346733668e-01 6.7068807911e+00 6.7068807911e+00 6.7068807911e+00
-6.7336683417e-01 6.8285460249e+00 6.8285460249e+00 6.8285460249e+00
-6.5326633166e-01 6.9543099233e+00 6.9543099233e+00 6.9543099233e+00
-6.3316582915e-01 7.0843950654e+00 7.0843950654e+00 7.0843950654e+00
-6.1306532663e-01 7.2190439864e+00 7.2190439864e+00 7.2190439864e+00
-5.9296482412e-01 7.3585219037e+00 7.3585219037e+00 7.3585219037e+00
-5.7286432161e-01 7.5031199324e+00 7.5031199324e+00 7.5031199324e+00
-5.5276381910e-01 7.6531588962e+00 7.6531588962e+00 7.6531588962e+00
-5.3266331658e-01 7.8089938701e+00 7.8089938701e+00 7.8089938701e+00
-5.1256281407e-01 7.9710196227e+00 7.9710196227e+00 7.9710196227e+00
-4.9246231156e-01 8.1396771787e+00 8.1396771787e+00 8.1396771787e+00
-4.7236180905e-01 8.3154617810e+00 8.3154617810e+00 8.3154617810e+00
-4.5226130653e-01 8.4989326225e+00 8.4989326225e+00 8.4989326225e+00
-4.3216080402e-01 8.6907248285e+00 8.6907248285e+00 8.6907248285e+00
-4.1206030151e-01 8.8915643383e+00 8.8915643383e+00 8.8915643383e+00
-3.9195979899e-01 9.1022865557e+00 9.1022865557e+00 9.1022865557e+00
-3.7185929648e-01 9.3238599618e+00 9.3238599618e+00 9.3238599618e+00
-3.5175879397e-01 9.5574163478e+00 9.5574163478e+00 9.5574163478e+00
-3.3165829146e-01 9.8042900079e+00 9.8042900079e+00 9.8042900079e+00
-3.1155778894e-01 1.0066069260e+01 1.0066069260e+01 1.0066069260e+01
-2.9145728643e-01 1.0344665238e+01 1.0344665238e+01 1.0344665238e+01
-2.7135678392e-01 1.0642405371e+01 1.0642405371e+01 1.0642405371e+01
-2.5125628141e-01 1.0962162992e+01 1.0962162992e+01 1.0962162992e+01
-2.3115577889e-01 1.1307541189e+01 1.1307541189e+01 1.1307541189e+01
-2.1105527638e-01 1.1683140622e+01 1.1683140622e+01 1.1683140622e+01
-1.9095477387e-01 1.2094961934e+01 1.2094961934e+01 1.2094961928e+01
-1.7085427136e-01 1.2551033012e+01 1.2551033012e+01 1.2551032789e+01
-1.5075376884e-01 1.3062430974e+01 1.3062430974e+01 1.3062428446e+01
-1.3065326633e-01 1.3645040296e+01 1.3645040231e+01 1.3645092961e+01
-1.1055276382e-01 1.4322784455e+01 1.4322798834e+01 1.4324308483e+01
-9.0452261307e-02 1.5134300380e+01 1.5134074516e+01 1.5142575059e+01
-7.0351758794e-02 1.6156964466e+01 1.6137315081e+01 1.6100201587e+01
-5.0251256281e-02 1.7271148145e+01 1.7755456700e+01 1.7345448049e+01
-3.0150753769e-02 2.1234688358e+01 1.8177062404e+01 1.7968868317e+01
-1.0050251256e-02 1.9005990503e+01 2.0559889832e+01 2.1742719404e+01
1.0050251256e-02 1.9005990503e+01 2.0559889832e+01 2.1742719405e+01
3.0150753769e-02 2.1234688358e+01 1.8177062404e+01 1.7968868317e+01
5.0251256281e-02 1.7271148145e+01 1.7755456700e+01 1.7345448049e+01
7.0351758794e-02 1.6156964466e+01 1.6137315081e+01 1.6100201587e+01
9.0452261307e-02 1.5134300380e+01 1.5134074516e+01 1.5142575059e+01
1.1055276382e-01 1.4322784455e+01 1.4322798834e+01 1.4324308483e+01
1.3065326633e-01 1.3645040296e+01 1.3645040231e+01 1.3645092961e+01
1.5075376884e-01 1.3062430974e+01 1.3062430974e+01 1.3062428446e+01
1.7085427136e-01 1.2551033012e+01 1.2551033012e+01 1.2551032789e+01
1.9095477387e-01 1.2094961934e+01 1.2094961934e+01 1.2094961928e+01
2.1105527638e-01 1.1683140622e+01 1.1683140622e+01 1.1683140622e+01
2.3115577889e-01 1.1307541189e+01 1.1307541189e+01 1.1307541189e+01
2.5125628141e-01 1.0962162992e+01 1.0962162992e+01 1.0962162992e+01
2.7135678392e-01 1.0642405371e+01 1.0642405371e+01 1.0642405371e+01
2.9145728643e-01 1.0344665238e+01 1.0344665238e+01 1.0344665238e+01
3.1155778894e-01 1.0066069260e+01 1.0066069260e+01 1.0066069260e+01
3.3165829146e-01 9.8042900079e+00 9.8042900079e+00 9.8042900079e+00
3.5175879397e-01 9.5574163478e+00 9.5574163478e+00 9.5574163478e+00
3.7185929648e-01 9.3238599618e+00 9.3238599618e+00 9.3238599618e+00
3.9195979899e-01 9.1022865557e+00 9.1022865557e+00 9.1022865557e+00
4.1206030151e-01 8.8915643383e+00 8.8915643383e+00 8.8915643383e+00
4.3216080402e-01 8.6907248285e+00 8.6907248285e+00 8.6907248285e+00
4.5226130653e-01 8.4989326225e+00 8.4989326225e+00 8.4989326225e+00
4.7236180905e-01 8.3154617810e+00 8.3154617810e+00 8.3154617810e+00
4.9246231156e-01 8.1396771787e+00 8.1396771787e+00 8.1396771787e+00
5.1256281407e-01 7.9710196227e+00 7.9710196227e+00 7.9710196227e+00
5.3266331658e-01 7.8089938701e+00 7.8089938701e+00 7.8089938701e+00
5.5276381910e-01 7.6531588962e+00 7.6531588962e+00 7.6531588962e+00
5.7286432161e-01 7.5031199324e+00 7.5031199324e+00 7.5031199324e+00
5.9296482412e-01 7.3585219037e+00 7.3585219037e+00 7.3585219037e+00
6.1306532663e-01 7.2190439864e+00 7.2190439864e+00 7.2190439864e+00
6.3316582915e-01 7.0843950654e+00 7.0843950654e+00 7.0843950654e+00
6.5326633166e-01 6.9543099233e+00 6.9543099233e+00 6.9543099233e+00
6.7336683417e-01 6.8285460249e+00 6.8285460249e+00 6.8285460249e+00
